,runno:,N54835,atlas:,DB2_symmetric_R,,,Label Statistics

ROI,voxels,volume_mm3,adc,dwi,e1,e2,e3,fa,rd
0,22954070,2091.68987810,0.00035184,1488.79553223,0.00047678,0.00031010,0.00025068,0.26892236,0.00028040
1,8093,0.73747471,0.00030989,3074.28759766,0.00036391,0.00031310,0.00025265,0.18255499,0.00028288
2,3344,0.30472204,0.00031925,2902.79272461,0.00037436,0.00031907,0.00026432,0.17689410,0.00029170
3,6459,0.58857645,0.00032661,2845.48388672,0.00037419,0.00033460,0.00027104,0.15967511,0.00030282
4,2671,0.24339490,0.00032324,2895.45922852,0.00036609,0.00033025,0.00027339,0.14695512,0.00030182
5,3115,0.28385441,0.00032546,2767.49023438,0.00038353,0.00031299,0.00027987,0.16445044,0.00029643
6,1709,0.15573264,0.00032732,2836.60571289,0.00039102,0.00031810,0.00027423,0.17585962,0.00029617
7,7974,0.72663084,0.00031412,2839.02758789,0.00037478,0.00030613,0.00026145,0.18493731,0.00028379
8,17252,1.57208869,0.00032199,2814.02685547,0.00037411,0.00032360,0.00027062,0.15879670,0.00029711
9,11006,1.00292187,0.00032841,2883.40551758,0.00038829,0.00031679,0.00028014,0.16690576,0.00029846
10,6972,0.63532358,0.00033047,2648.64550781,0.00037996,0.00032794,0.00028345,0.14872295,0.00030570
11,7170,0.65336633,0.00033237,2600.53515625,0.00037948,0.00033049,0.00028696,0.14313129,0.00030872
12,7324,0.66739958,0.00033224,2687.24462891,0.00038149,0.00032817,0.00028692,0.14364463,0.00030754
13,3665,0.33397316,0.00033842,2585.95434570,0.00040560,0.00033253,0.00027873,0.18956541,0.00030563
14,4327,0.39429792,0.00033576,2602.68798828,0.00038115,0.00033584,0.00029028,0.13754505,0.00031306
15,35521,3.23685151,0.00033464,2680.35571289,0.00039583,0.00032052,0.00028635,0.16692972,0.00030343
16,32923,3.00010873,0.00031908,2823.79931641,0.00037303,0.00032034,0.00026287,0.17644793,0.00029160
17,15367,1.40031804,0.00033582,2695.41137695,0.00040212,0.00032467,0.00028064,0.18555614,0.00030266
18,1362,0.12411226,0.00032883,2623.43798828,0.00037027,0.00032521,0.00029101,0.12292944,0.00030811
