,runno:,N54823,atlas:,CAST_symmetric_R,,,Label Statistics

ROI,voxels,volume_mm3,adc,dwi,e1,e2,e3,fa,rd
0,23456835,2137.50434419,0.00033747,1365.23498535,0.00046123,0.00030006,0.00024524,0.25929630,0.00027265
1,6609,0.60224520,0.00032655,2649.68334961,0.00037807,0.00032971,0.00027188,0.16644453,0.00030080
2,2904,0.26462703,0.00033173,2532.27124023,0.00038897,0.00033475,0.00027148,0.18142243,0.00030312
3,5976,0.54456306,0.00034046,2420.64306641,0.00038681,0.00035154,0.00028304,0.15626171,0.00031729
4,2086,0.19008677,0.00034311,2372.46679688,0.00038652,0.00035296,0.00028958,0.14634939,0.00032127
5,1646,0.14999177,0.00033826,2341.17504883,0.00041133,0.00032251,0.00028095,0.19870637,0.00030173
6,1276,0.11627551,0.00032669,2488.41674805,0.00038808,0.00032652,0.00026798,0.18174325,0.00029725
7,5827,0.53098544,0.00033122,2414.69750977,0.00040026,0.00032639,0.00026701,0.20642398,0.00029670
8,13138,1.19720039,0.00032849,2306.10839844,0.00038645,0.00033654,0.00026387,0.18219027,0.00030021
9,8540,0.77820759,0.00033783,2497.57250977,0.00039470,0.00032806,0.00029072,0.15611407,0.00030939
10,6418,0.58484032,0.00034044,2298.03881836,0.00039014,0.00033335,0.00029774,0.13803986,0.00031555
11,7278,0.66320783,0.00033458,2345.45556641,0.00038535,0.00032953,0.00028921,0.14570458,0.00030937
12,5964,0.54346956,0.00034381,2309.93798828,0.00039219,0.00033518,0.00030406,0.13105293,0.00031962
13,3295,0.30025691,0.00034886,2234.74267578,0.00042879,0.00034621,0.00027859,0.21110424,0.00031240
14,5003,0.45589843,0.00035120,2221.16186523,0.00039857,0.00035610,0.00029893,0.14489505,0.00032752
15,32382,2.95081010,0.00034719,2333.58911133,0.00041331,0.00033113,0.00029417,0.17478305,0.00031265
16,33097,3.01596448,0.00033241,2419.29345703,0.00039161,0.00033089,0.00027283,0.18156287,0.00030186
17,12942,1.17933989,0.00035057,2311.62573242,0.00042796,0.00033662,0.00028707,0.20633774,0.00031184
18,1031,0.09394989,0.00033902,2324.03125000,0.00037644,0.00033787,0.00030275,0.11120149,0.00032031
19,33516,3.05414586,0.00034654,2264.58813477,0.00040343,0.00034004,0.00029614,0.15854253,0.00031809
20,29785,2.71415845,0.00034609,2287.41821289,0.00040747,0.00034193,0.00028745,0.17701465,0.00031469
21,6681,0.60880620,0.00033829,2516.92675781,0.00040451,0.00032461,0.00028575,0.17957948,0.00030518
22,2290,0.20867627,0.00032838,2466.77539062,0.00037530,0.00032313,0.00028671,0.13933001,0.00030492
23,463,0.04219088,0.00034764,2266.25463867,0.00038348,0.00034880,0.00031065,0.10719585,0.00032972
24,3258,0.29688529,0.00034609,2241.28173828,0.00038725,0.00034394,0.00030706,0.11939117,0.00032550
25,36009,3.28132052,0.00034680,2208.68041992,0.00039525,0.00034133,0.00030375,0.13532682,0.00032254
26,6125,0.55814069,0.00034860,2200.74560547,0.00039823,0.00034470,0.00030287,0.14010733,0.00032379
