,runno:,N54866,atlas:,C57_symmetric_R,,,Label Statistics

ROI,voxels,volume_mm3,adc,dwi,e1,e2,e3,fa,rd
0,22354300,2037.03583033,0.00032528,1382.34863281,0.00045413,0.00028280,0.00022544,0.27677432,0.00025412
1,9732,0.88682861,0.00030593,2792.87084961,0.00035509,0.00030880,0.00025392,0.16947711,0.00028136
2,3797,0.34600167,0.00031072,2676.58764648,0.00035925,0.00031188,0.00026104,0.16153175,0.00028646
3,7937,0.72325921,0.00032275,2595.29614258,0.00036718,0.00032987,0.00027119,0.15091489,0.00030053
4,2747,0.25032040,0.00032220,2576.30761719,0.00036451,0.00032797,0.00027418,0.14305207,0.00030107
5,2245,0.20457565,0.00031746,2563.79199219,0.00037696,0.00031300,0.00026242,0.18217489,0.00028771
6,1519,0.13841889,0.00030965,2553.20922852,0.00036046,0.00031421,0.00025162,0.17491941,0.00028291
7,9132,0.83215360,0.00030882,2606.81884766,0.00036998,0.00030745,0.00024904,0.19988437,0.00027825
8,16266,1.48223943,0.00032811,2432.22998047,0.00038192,0.00033090,0.00027094,0.17136155,0.00030092
9,11834,1.07837338,0.00031487,2750.68920898,0.00036412,0.00030434,0.00027614,0.14240590,0.00029024
10,8334,0.75943584,0.00032665,2395.03393555,0.00037879,0.00032225,0.00027904,0.15496138,0.00030065
11,8807,0.80253797,0.00032409,2432.54736328,0.00037047,0.00032050,0.00028129,0.14140442,0.00030089
12,9063,0.82586597,0.00032753,2404.09985352,0.00038111,0.00032069,0.00028080,0.15454644,0.00030075
13,3042,0.27720228,0.00032937,2447.00439453,0.00037778,0.00032605,0.00028335,0.14552471,0.00030470
14,5232,0.47676606,0.00033626,2367.93237305,0.00037797,0.00034236,0.00028845,0.13589799,0.00031541
15,39995,3.64454481,0.00033174,2463.26855469,0.00038431,0.00032113,0.00028884,0.14706169,0.00030499
16,38202,3.48115766,0.00032180,2516.07470703,0.00037016,0.00032485,0.00026806,0.16163139,0.00029646
17,16872,1.53746118,0.00032988,2503.39843750,0.00038219,0.00032302,0.00028440,0.15167105,0.00030371
18,1262,0.11499976,0.00033004,2332.65917969,0.00036516,0.00033114,0.00029383,0.11162036,0.00031248
19,39704,3.61802743,0.00032955,2363.73120117,0.00037735,0.00032456,0.00028673,0.14205249,0.00030564
20,35996,3.28013589,0.00033453,2405.56567383,0.00038724,0.00033263,0.00028364,0.15888184,0.00030813
21,7047,0.64215795,0.00031236,2822.54565430,0.00036401,0.00030102,0.00027204,0.15116781,0.00028653
22,2535,0.23100190,0.00032248,2435.12548828,0.00036273,0.00031765,0.00028705,0.12170251,0.00030235
23,605,0.05513063,0.00033376,2303.39184570,0.00036898,0.00033823,0.00029408,0.11559103,0.00031616
24,5016,0.45708305,0.00032989,2333.77343750,0.00037427,0.00032461,0.00029073,0.13207617,0.00030767
